Name,Share Price,EPS 2013,Dividend 2013,EPS 2014,Dividend 2014,EPS 2015,Dividend 2015,EPS 2016,Dividend 2016,EPS 2017,Dividend 2017,EPS 2018,Dividend 2018,EPS 2019,Dividend 2019,EPS 2020,Dividend 2020,EPS 2009,Dividend 2009,EPS 2010,Dividend 2010,EPS 2011,Dividend 2011
"TAG Immobilien Aktie�
","24,48EUR
","0,21","0,35","0,18","0,50","1,18","0,55","1,48","0,57","2,14","0,65","3,29","0,75","3,05","0,82",,,,,,,,
"Carl Zeiss Meditec Aktie�
","106,70EUR
",,,"0,92","0,40","0,77","0,38","1,21","0,42","1,57","0,55","1,41","0,55","1,79","0,65","1,37",-,,,,,,
"Aurubis (ex Norddeutsche Affinerie) Aktie�
","62,44EUR
",,,"0,95","1,00","2,95","1,35","2,71","1,25","7,80","1,45","6,46","1,55","4,24","1,25","5,95","1,30",,,,,,
"BMW Aktie�
","73,42EUR
","8,10","2,60","8,83","2,90","9,70","3,20","10,45","3,50","13,12","4,00","10,82","3,50","7,47","2,50",,,,,,,,
"TeamViewer Aktie�
","43,79EUR
",,,,,,,"-0,29",-,"-0,35",-,"-0,06",-,"0,52",-,,,,,,,,
"Vossloh Aktie�
","40,95EUR
","1,21","0,49","-15,97","0,00","1,16","0,00","-0,41","0,00","-0,70","1,00","1,14","1,00","-8,32","1,00",,,,,,,,
"Home24 Aktie�
","18,52EUR
",,,,,"-3,13",-,"-2,25",-,"-1,87",-,"-3,22","0,00","-2,53","0,00",,,,,,,,
"Deutsche Bank Aktie�
","8,96EUR
","0,57","0,64","1,20","0,67","-4,52","0,00","-1,08","0,19","-0,53","0,11","0,13","0,11","-2,55","0,00",,,,,,,,
"AIXTRON Aktie�
","14,33EUR
","-0,98","0,00","-0,56","0,00","-0,26","0,00","-0,22","0,00","0,06","0,00","0,41","0,00","0,29","0,00",,,,,,,,
"LANXESS Aktie�
","62,86EUR
","-1,91","0,50","0,53","0,50","1,80","0,60","2,10","0,70","0,95","0,80","3,73","0,90","2,32","0,95",,,,,,,,
"HUGO BOSS Aktie�
","26,97EUR
","4,77","3,34","4,83","3,62","4,63","3,62","2,80","2,60","3,35","2,65","3,42","2,70","2,97","2,75",,,,,,,,
"S&T Aktie�
","18,65EUR
","0,30","0,06","0,32","0,07","0,36","0,08","0,33","0,10","0,43","0,13","0,70","0,16","0,75","0,00",,,,,,,,
"M�nchener R�ckversicherungs-Gesellschaft Aktie�
","241,40EUR
","18,50","7,25","18,31","7,75","18,73","8,25","16,13","8,60","2,43","8,60","15,53","9,25","18,96","9,80",,,,,,,,
"Sixt Aktie�
","97,90EUR
","1,97","0,65","2,29","1,20","2,40","0,90","3,01","1,65","4,09","1,95","9,08","2,15","4,99","0,00",,,,,,,,
"Stabilus Aktie�
","59,25EUR
",,,"0,54","0,00","0,82","0,00","2,21","0,50","3,21","0,80","4,27","1,00","3,26","1,10","1,21",-,,,,,,
"Shop Apotheke Europe NV Aktie�
","138,80EUR
","-0,31",-,"-0,56",-,"-1,16",-,"-3,08","0,00","-2,25","0,00","-2,79","0,00","-2,78","0,00",,,,,,,,
"Evonik Aktie�
","27,01EUR
","1,15","1,00","1,22","1,00","2,15","1,15","1,61","1,15","1,54","1,15","2,00","1,15","1,77","1,15",,,,,,,,
"ADVA Aktie�
","6,87EUR
","0,11","0,00","0,17","0,00","0,55","0,00","0,44","0,00","-0,09","0,00","0,19","0,00","0,14","0,00",,,,,,,,
"Commerzbank Aktie�
","5,32EUR
","0,09","0,00","0,23","0,00","0,88","0,20","0,22","0,00","0,12","0,00","0,69","0,20","0,51","0,00",,,,,,,,
"ADO Properties Aktie�
","27,64EUR
","0,65",-,"1,96",-,-,"0,31","8,84","0,39","7,06","0,52","7,67","0,66","11,92","0,66",,,,,,,,
"Hannover R�ck Aktie�
","130,90EUR
","7,43","3,00","8,17","4,25","9,54","4,75","9,71","5,00","7,95","5,00","8,79","5,25","10,65","5,50",,,,,,,,
"Rheinmetall Aktie�
","86,14EUR
","0,75","0,40","0,47","0,30","3,87","1,10","4,69","1,45","5,23","1,70","7,10","2,10","7,78","2,40",,,,,,,,
"Telefonica Deutschland Aktie�
","2,27EUR
","0,06","0,37","-0,45","0,24","-0,13","0,24","-0,06","0,25","-0,13","0,26","-0,08","0,27","-0,07","0,17",,,,,,,,
"Salzgitter Aktie�
","21,39EUR
","-9,10","0,20","-0,64","0,20","-0,89","0,25","1,00","0,30","3,52","0,45","5,06","0,55","-4,46","0,00",,,,,,,,
"KION GROUP Aktie�
","71,88EUR
","1,68","0,35","1,78","0,55","2,18","0,76","2,36","0,79","3,69","0,98","3,37","1,19","3,83","0,00",,,,,,,,
"Koenig Bauer Aktie�
","23,20EUR
","-9,31","0,00","0,03","0,00","1,62","0,00","4,98","0,50","4,91","0,90","3,86","1,00","2,31",-,,,,,,,,
"D�rr Aktie�
","33,00EUR
","2,02","0,72",-,"0,82",-,"0,93",-,"1,05","2,81","1,10","2,27","1,00","1,79","0,80",,,,,,,,
"adidas Aktie�
","293,50EUR
","3,76","1,50","2,35","1,50","3,30","1,60","5,08","2,00","6,69","2,60","8,44","3,35","10,00","0,00",,,,,,,,
"HOCHTIEF Aktie�
","77,95EUR
","2,37","1,50","-2,27","1,70","3,11","2,00","4,98","2,60","6,55","3,38","8,27","4,98","-2,92","5,80",,,,,,,,
"RWE Aktie�
","33,74EUR
","-4,49","1,00","2,77","1,00","-0,28","0,00","-9,29","0,00","3,09","0,50","0,54","0,70","0,39","0,80",,,,,,,,
"Deutsche Telekom Aktie�
","14,83EUR
","0,21","0,50","0,65","0,50","0,71","0,55","0,58","0,60","0,74","0,65","0,46","0,70","0,82","0,60",,,,,,,,
"Sartorius vz. Aktie�
","342,00EUR
","0,77","0,26","0,71","0,27","1,85","0,38","1,51","0,46","1,68","0,51","2,07","0,62","2,29","0,36",,,,,,,,
"Fresenius Aktie�
","38,12EUR
","1,84","0,42","1,98","0,44","2,55","0,55","2,86","0,62","3,27","0,75","3,65","0,80","3,38","0,84",,,,,,,,
"CTS Eventim Aktie�
","51,50EUR
","0,64","0,32","0,80","0,40","0,93","0,46","0,99","0,98","1,18","0,59","1,23","0,62","1,38","0,00",,,,,,,,
"HENSOLDT Aktie�
","13,91EUR
",,,,,,,,,,,"-0,58",-,"0,06",-,,,,,,,,
"HAMBORNER REIT Aktie�
","8,94EUR
","0,18","0,39","0,37","0,39","0,25","0,41","0,26","0,43","0,22","0,45","0,24","0,46","0,22","0,47",,,,,,,,
"QIAGEN Aktie�
","42,52EUR
","0,31","0,00","0,20","0,00","0,56","0,00","0,35","0,00","0,18","0,00","0,84",-,"-0,18","0,00",,,,,,,,
"flatexDEGIRO Aktie�
","61,40EUR
","-0,09","0,00","-0,49","0,00","-0,11","0,00","0,50","0,00","1,00","0,00","1,18","0,00","0,77","0,00",,,,,,,,
"CropEnergies Aktie�
","11,14EUR
",,,"0,14","0,10","-0,67","0,00","0,49","0,15","0,79","0,30","0,58","0,25","0,24","0,15","0,85","0,30",,,,,,
"SAP Aktie�
","103,70EUR
","2,79","1,00","2,74","1,10","2,56","1,15","3,04","1,25","3,36","1,40","3,42","1,50","2,78","1,58",,,,,,,,
"PATRIZIA Immobilien Aktie�
","26,10EUR
","0,40","0,00","0,38","0,00","1,20","0,00","2,57","0,00","0,60","0,25","0,57","0,27","0,58","0,29",,,,,,,,
"WACKER CHEMIE Aktie�
","116,55EUR
","0,05","0,50","4,10","1,50","4,97","2,00","3,61","2,00","5,03","2,50","4,95","2,50","-12,94","0,50",,,,,,,,
"Merck Aktie�
","136,55EUR
","2,77","0,95","2,66","1,00","2,56","1,05","3,75","1,20","5,98","1,25","2,60","1,25","3,04","1,30",,,,,,,,
"Daimler Aktie�
","58,27EUR
","6,40","2,25","6,51","2,45","7,87","3,25","7,97","3,25","9,84","3,65","6,78","3,25","2,22","0,90",,,,,,,,
"Amadeus FiRe Aktie�
","118,40EUR
","2,83","2,83","3,37","3,37","3,53","3,53","3,66","3,66","3,96","3,96","4,66","4,66","4,62","0,00",,,,,,,,
"JOST Werke Aktie�
","43,60EUR
",,,"1,90",-,"-3,49",-,"-1,02",-,"-8,41","0,50","3,59","1,10","2,25","0,80",,,,,,,,
"DWS Group Aktie�
","35,16EUR
",,,,,"2,29",-,"2,26",-,"3,17",-,"1,96","1,37","2,56","1,67",,,,,,,,
"Siemens Energy Aktie�
","28,91EUR
",,,,,,,,,"1,25",-,"0,75",-,"0,22",-,"-2,21","0,00",,,,,,
"Deutsche Post Aktie�
","40,21EUR
","1,73","0,80","1,71","0,85","1,27","0,85","2,19","1,05","2,24","1,15","1,69","1,15","2,13","1,15",,,,,,,,
"Corestate Capital Aktie�
","14,26EUR
","0,62",-,"0,98",-,"0,77",-,"1,47","1,00","3,24","2,00","4,91","2,50","5,11","0,00",,,,,,,,
"ProSiebenSat.1 Media Aktie�
","13,75EUR
","1,10","1,47","1,75","1,60","1,83","1,80","1,85","1,90","2,06","1,93","1,08","1,19","1,83","0,85",,,,,,,,
"Bayer Aktie�
","48,30EUR
","3,80","2,07","4,07","2,21","4,89","2,46","5,35","2,66","8,28","2,76","1,80","2,80","4,17","2,80",,,,,,,,
"Deutsche B�rse Aktie�
","138,30EUR
","2,60","2,10","4,14","2,10","3,60","2,25","6,81","2,35","4,68","2,45","4,46","2,70","5,47","2,90",,,,,,,,
"Wacker Neuson Aktie�
","17,36EUR
","0,87","0,40","1,30","0,50","0,94","0,50","0,81","0,50","1,25","0,60","2,06","0,60","1,26","0,00",,,,,,,,
"Siltronic Aktie�
","128,00EUR
","-3,64",-,"-0,53",-,-,"0,00","0,40","0,00","6,18","2,50","12,44","5,00","7,52","3,00",,,,,,,,
"LEG Immobilien Aktie�
","124,66EUR
","2,50","1,73","2,89","1,96","3,74","2,26","9,17","2,76","13,31","3,04","13,34","3,53","12,61","3,60",,,,,,,,
"Henkel vz. Aktie�
","90,44EUR
","3,63","1,22","3,75","1,31","4,42","1,47","4,73","1,62","5,80","1,79","5,32","1,85","4,80","1,85",,,,,,,,
"VERBIO Vereinigte BioEnergie Aktie�
","29,20EUR
",,,"0,08","0,00","0,43","0,10","0,77","0,15","0,82","0,20","0,24","0,20","0,84","0,20","1,01","0,20",,,,,,
"METRO (St.) Aktie�
","8,86EUR
",,,"0,11",-,"0,70",-,"1,39",-,"0,90","0,70","0,95","0,70","-0,35","0,70","1,27",-,,,,,,
"Jungheinrich Aktie�
","37,84EUR
","1,05","0,29","1,23","0,35","1,35","0,40","1,51","0,44","1,79","0,50","1,72","0,50","1,74","0,48",,,,,,,,
"alstria office REIT-AG Aktie�
","14,50EUR
","0,49","0,50","0,47","0,50","-1,15","0,50","1,16","0,52","1,94","0,52","3,02","0,52","3,27","0,53",,,,,,,,
"United Internet Aktie�
","34,36EUR
","1,07","0,40","2,28","0,60","1,80","0,70","0,88","0,80","3,07","0,85","0,94","0,05","2,13","0,50",,,,,,,,
"Aroundtown SA Aktie�
","6,05EUR
",,,"1,43",-,"1,26","0,05","1,11","0,16","1,56","0,23","1,54","0,25","1,12","0,14",,,,,,,,
"RATIONAL Aktie�
","724,00EUR
","8,55","6,00","9,68","6,80","10,71","7,50","11,18","10,00","12,58","11,00","13,84","9,50","15,09","5,70",,,,,,,,
"HHLA Aktie�
","18,22EUR
","0,70","0,45","0,76","0,52","0,85","0,59","0,92","0,59","1,04","0,67","1,46","0,80","1,32","0,70",,,,,,,,
"Deutsche Beteiligungs Aktie�
","33,60EUR
","2,36","0,40","3,49","0,40","2,16","0,50","3,65","1,20","6,01","1,40","2,23","1,45","3,05","1,50",,,,,,,,
"Linde Aktie�
","210,00EUR
","5,94","2,40","5,79","2,60","5,39","2,86","5,25","3,00","4,36","3,15","13,26","3,30","4,22","3,50",,,,,,,,
"Volkswagen (VW) vz. Aktie�
","152,44EUR
","18,66","4,06","21,87","4,86","-3,16","0,17","10,26","2,06","22,65","3,96","23,59","4,86","26,62","4,86",,,,,,,,
"Grand City Properties Aktie�
","20,78EUR
","2,97","0,00","1,78","0,20","2,71","0,25","3,56","0,68","3,35","0,73","2,95","0,77","2,43","0,82",,,,,,,,
"Fraport Aktie�
","47,38EUR
","2,40","1,25","2,54","1,35","3,00","1,35","4,07","1,50","3,57","1,50","5,13","2,00","4,55","0,00",,,,,,,,
"Bechtle Aktie�
","177,90EUR
","1,51","0,55","1,81","0,60","2,21","0,70","2,46","0,75","2,73","0,90","3,27","1,00","4,06","1,20",,,,,,,,
"Global Fashion Group (GFG) Aktie�
","8,80EUR
",,,,,,,"-4,09",-,"-0,65",-,"-0,91",-,"-0,70",-,,,,,,,,
"Airbus Aktie�
","91,22EUR
","1,85","0,75","2,99","1,20","3,43","1,30","1,29","1,35","3,71","1,50","3,94","1,65","-1,75","0,00",,,,,,,,
"K+S Aktie�
","7,58EUR
","2,16","0,25","1,99","0,90","2,59","1,15","0,91","0,30","0,96","0,35","0,22","0,25","0,46","0,04",,,,,,,,
"LPKF Laser Electronics Aktie�
","28,25EUR
","0,68","0,25","0,38","0,12","-0,16","0,00","-0,40","0,00","0,05","0,00","0,33",-,"0,54","0,10",,,,,,,,
"TAKKT Aktie�
","10,72EUR
","0,80","0,32","1,00","0,32","1,24","0,50","1,39","0,55","1,47","0,55","1,34","0,85","1,14","0,00",,,,,,,,
"ENCAVIS Aktie�
","20,30EUR
","0,24","0,10","0,35","0,15","0,25","0,18","0,13","0,20","0,20","0,22","0,04","0,24","0,17","0,26",,,,,,,,
"STRATEC Aktie�
","121,20EUR
","1,32","0,60","1,68","0,70","1,87","0,75","1,65","0,77","2,16","0,80","0,75","0,82","1,20","0,84",,,,,,,,
"thyssenkrupp Aktie�
","8,15EUR
",,,"0,38","0,11","0,55","0,15","0,52","0,15","-1,60","0,15","0,01","0,15","-0,49","0,00","-8,71","0,00",,,,,,
"Deutsche Wohnen Aktie�
","42,57EUR
","1,19","0,34","2,93","0,44","3,62","0,54","4,69","0,74","4,88","0,80","5,15","0,87","4,28","0,90",,,,,,,,
"Siemens Healthineers Aktie�
","41,90EUR
",,,,,"1,28",-,"1,31",-,"1,43",-,"1,27","0,70","1,57","0,80","1,41","0,80",,,,,,
"KWS SAAT Aktie�
","65,50EUR
",,,"2,34","0,60","2,51","0,60","2,58","0,60","2,96","0,64","3,02","0,64","3,16","0,67","2,89","0,70",,,,,,
"Kl�ckner Aktie�
","8,21EUR
","-0,85","0,00","0,22","0,20","-3,48","0,00","0,37","0,20","1,01","0,30","0,68","0,30","-0,56","0,00",,,,,,,,
"Medios Aktie�
","36,50EUR
","-0,37","0,00","-0,07","0,00","-0,18","0,00","-0,73","0,00","0,32","0,00","0,31","0,00","0,67","0,00",,,,,,,,
"TRATON Aktie�
","22,57EUR
",,,,,,,"3,62",-,"17,90",-,"23,34",-,"3,04","1,00",,,,,,,,
"Instone Real Estate Group Aktie�
","20,35EUR
",,,,,"-0,57",-,"-0,57",-,"-0,79",-,"0,17",-,"1,78",-,,,,,,,,
"NORMA Group Aktie�
","41,02EUR
","1,74","0,70","1,72","0,75","2,31","0,90","2,38","0,95","3,76","1,05","2,88","1,10","1,83","0,04",,,,,,,,
"S�dzucker Aktie�
","11,45EUR
",,,"1,38","0,50","0,10","0,25","0,53","0,30","1,05","0,45","1,00","0,45","-4,13","0,20","-0,59","0,20",,,,,,
"HELLA Aktie�
","52,95EUR
",,,"2,01","0,00","2,70","0,77","2,42","0,77","3,08","0,92","3,50","1,05","5,67","1,05","-3,88","0,00",,,,,,
"Pfeiffer Vacuum Aktie�
","155,20EUR
","3,53","2,65","3,29","2,65","4,25","3,20","4,77","3,60","5,46","2,00","6,98","2,30","4,90","1,25",,,,,,,,
"Varta Aktie�
","117,10EUR
",,,,,,,"0,62",-,"0,42",-,"0,66","0,00","1,28","0,00",,,"-0,65",-,"-0,97",-,"-1,20",-
"Nemetschek Aktie�
","61,10EUR
",-,"0,11",-,"0,13","0,31","0,17","0,41","0,22","0,65","0,25","0,66","0,27","1,10","0,28",,,,,,,,
"Westwing Group Aktie�
","31,12EUR
",,,,,,,"-1,48",-,"-1,46",-,"-0,15",-,"-1,90","0,00",,,,,,,,
"ElringKlinger Aktie�
","15,34EUR
","1,66","0,50","1,67","0,55","1,45","0,55","1,24","0,50","1,10","0,50","0,69","0,00","0,06","0,00",,,,,,,,
"HeidelbergCement Aktie�
","61,42EUR
","3,98","0,60","2,59","0,75","4,26","1,30","3,66","1,60","4,63","1,90","5,76","2,10","5,50","0,60",,,,,,,,
"DIC Asset Aktie�
","13,22EUR
","0,33","0,35","0,22","0,35","0,30","0,37","-0,41","0,40","0,93","0,64","0,68","0,48","1,13","0,66",,,,,,,,
"KRONES Aktie�
","65,60EUR
","3,84","1,00","4,30","1,25","4,98","1,45","5,40","1,55","5,97","1,70","4,78","1,70","0,30","0,75",,,,,,,,
"HelloFresh Aktie�
","58,15EUR
",,,"-0,47",-,"-3,66",-,"-3,02",-,"-0,67","0,00","-0,51","0,00","-0,06","0,00",,,,,,,,
"Beiersdorf Aktie�
","93,44EUR
","2,35","0,70","2,33","0,70","2,91","0,70","3,13","0,70","2,96","0,70","3,21","0,70","3,17","0,70",,,,,,,,
"RTL Aktie�
","40,30EUR
","5,67","5,95","4,25","2,98","5,14","2,55","4,69","3,40","4,81","3,40","4,35","3,40","4,91","0,00",,,,,,,,
"Brenntag Aktie�
","64,12EUR
","2,20","0,87","2,20","0,90","2,36","1,00","2,33","1,05","2,34","1,10","2,98","1,20","3,02","1,25",,,,,,,,
"Covestro Aktie�
","50,40EUR
","1,00",-,"1,00",-,"2,21","0,70","3,93","1,35","9,93","2,20","9,46","2,40","3,02","1,20",,,,,,,,
"1&1 Drillisch Aktie�
","20,12EUR
","3,24","1,60","1,03","1,70","0,85","1,75","0,48","1,80","1,91","1,60","2,30","0,05","2,12","0,05",,,,,,,,
"EVOTEC Aktie�
","29,58EUR
","-0,21","0,00","-0,05","0,00","0,13","0,00","0,21","0,00","0,17","0,00","0,57","0,00","0,25","0,00",,,,,,,,
"GRENKE Aktie�
","38,32EUR
","1,08","0,33","1,47","0,37","1,81","0,50","2,29","0,58","2,74","0,70","2,78","0,80","2,92","0,80",,,,,,,,
"Ceconomy St. Aktie�
","5,84EUR
",,,"0,38","0,90","-0,38","1,00","1,68","1,00","1,61","0,26","-0,28","0,00","0,34","0,00","-0,66","0,00",,,,,,
"Aareal Bank Aktie�
","19,65EUR
","1,95","0,75","5,28","1,20","5,66","1,65","3,32","2,00","3,19","2,50","3,47","2,10","2,42","0,00",,,,,,,,
"Symrise Aktie�
","107,80EUR
","1,46","0,70","1,48","0,75","1,90","0,80","1,95","0,85","2,08","0,88","2,12","0,90","2,21","0,95",,,,,,,,
